record_id,admin_region,basin,altitude_masl,altitudinal_belt,site_name,unit,sub_unit,c14_lab_code,material,material_detail,c14_bp,c14_error,d13C_ams,reference_short,context_domestic,context_funerary,context_agriculture,context_other,c14_cal_from,c14_cal_to,c14_cal_median,ecozone
1,Tarapacá,Arheic coast,30.0,Coast,Bajo Molle,Señor de Bajo Molle,-,Geochron,Animal,Textile,749,75,-,"Moragas 1995, Moragas C.P.",,X,,,770,550,650,Coast
2,Tarapacá,Arheic coast,30.0,Coast,Bajo Molle-1,T-1,-,GX-21176,Human,Human soft tissue ,1310,125,-9.41,Moragas 1995; Arriaza et al. 2008,,X,,,1410,930,1170,Coast
3,Tarapacá,Arheic coast,30.0,Coast,Bajo Molle-1,T-3,-,GX-21178,Vegetal,Organic material ,1115,120,-8.16,Moragas 1995; Arriaza et al. 2008,,X,,,1270,740,990,Coast
4,Tarapacá,Arheic coast,30.0,Coast,Bajo Molle-1,T-4,-,GX-21179,Human,Human soft tissue ,775,75,-6.8,Moragas 1995; Arriaza et al. 2008,,X,,,790,550,670,Coast
5,Tarapacá,Arheic coast,30.0,Coast,Bajo Molle-1,T-6,-,GX-21183,Human,Human soft tissue ,1145,110,-9.79,Arriaza et al. 2008,,X,,,1270,790,1020,Coast
6,Tarapacá,Arheic coast,30.0,Coast,Bajo Molle-1,T-7,-,GX-21181,Human,Human soft tissue ,760,85,-18.39,Moragas 1995; Arriaza et al. 2008,,X,,,790,540,660,Coast
7,Tarapacá,Arheic coast,10.0,Coast,Cáñamo 1,E-IV,Base,TK-102,Vegetal,Charcoal,4000,140,-,Núñez 1976,X,,,,4830,4000,4420,Coast
8,Tarapacá,Arheic coast,10.0,Coast,Cáñamo 1,E-1 ,-,TK-103,Vegetal,Charcoal,2770,130,-,Núñez 1976,X,,,,3220,2490,2870,Coast
9,Tarapacá,Arheic coast,10.0,Coast,Cáñamo 1,-,-,GAK-6883,Vegetal,Charcoal,2820,100,-,Núñez and Moragas 1977,X,,,,3210,2730,2910,Coast
10,Tarapacá,Arheic coast,10.0,Coast,Cáñamo 1,E-1 ,-,TK-103,Vegetal,Charcoal,2840,130,-,Núñez 1976,X,,,,3340,2710,2950,Coast
11,Tarapacá,Arheic coast,10.0,Coast,Cáñamo 1,E-IV,Base,TK-102,Vegetal,Charcoal,3880,130,-,Núñez 1976,X,,,,4790,3870,4250,Coast
12,Tarapacá,Arheic coast,23.0,Coast,Cáñamo 3,-,-,TK-101,Vegetal,Basketry ,1190,60,-,Núñez 1976,,X,,,1260,930,1050,Coast
13,Tarapacá,C. de la Costa,900.0,Lowland,Cerro Esmeralda,C-1,-,AA97974,Animal,Camelid yarn,505,34,-,Mendez-Quiros et al. 2012,,X,,,550,470,510,Lowlands
14,Tarapacá,C. de la Costa,900.0,Lowland,Cerro Esmeralda,C-2 ,-,AA97975,Animal,Camelid yarn,540,34,-,Mendez-Quiros et al. 2012,,X,,,550,500,520,Lowlands
15,Tarapacá,Loa,26.0,Coast,Caleta Huelén 42,-,-,UGAMS-24883,Vegetal,Prosopis fruit,220,25,-,McRostie et al. 2017,X,,,,300,140,190,Coast
16,Tarapacá,Loa,26.0,Coast,Caleta Huelén 42,-,-,UGAMS-24884,Vegetal,Prosopis fruit,630,20,-,McRostie et al. 2017,X,,,,630,540,610,Coast
17,Tarapacá,Loa,26.0,Coast,Caleta Huelén 42,-,-,GAK-3545,Vegetal,Wood (harpon head),3780,90,-,Núñez 1976,X,,,,4410,3880,4110,Coast
18,Tarapacá,Loa,26.0,Coast,Caleta Huelén 42,-,-,GAK-3546,Marine,Charred bone,4780,100,-,Núñez 1976,X,,,,5720,5080,5470,Coast
19,Tarapacá,Loa,26.0,Coast,Caleta Huelén 43,-,-,GAK-3544,Textile,Textile,2400,90,-,Núñez 1976,,X,,,2720,2150,2420,Coast
20,Tarapacá,Loa,26.0,Coast,Caleta Huelén 43,T-10,-,IVIC-791,Human,Human soft tissue ,1130,80,-,Nunez 1971 ,,X,,,1180,800,1000,Coast
21,Tarapacá,Loa,830.0,Lowland,La Capilla Quillagua,-,-,TK-172 ,Vegetal,Wood ,710,70,-,Nuñez 1976,X,,,,730,540,620,Lowlands
22,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1*,93031,-,CAMS-10317,Textile,Pelican-cape yarn,1850,70,-20.4,Oakland 2000,X,,,,1890,1560,1730,Lowlands
23,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1*,93031,-,CAMS-10319,Marine,Bird-skin,2290,60,-13.6,Southon et al. 2005,X,,,,2360,2090,2230,Lowlands
24,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1*,93031,-,CAMS-10318,Marine,Feather (Bird-skin cape),2310,100,-13.1,Southon et al. 2005,X,,,,2700,2010,2260,Lowlands
25,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1*,CAS-512,-,CAMS-9374,Marine,Feather (Bird-skin cape) ,2040,50,-13.4,Southon et al. 2005,X,,,,2090,1830,1950,Lowlands
26,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1*,CAS-512,-,CAMS-7610 ,Marine,Feather (Bird-skin cape) ,2120,90,-13.4,Southon et al. 2005,X,,,,2320,1840,2050,Lowlands
27,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,CAS-572,-,CAMS-10320,Textile,Water bottle yarn (odre),1270,60,-23.5,Oakland 2000,X,,,,1280,980,1140,Lowlands
28,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,CAS-572,-,CAMS-10321 ,Marine,Fish bone ,1740,50,-12.8,Southon et al. 2005,X,,,,1730,1430,1610,Lowlands
29,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,CAS-572,-,CAMS-10322,Marine,Skin? Stomach,1800,60,-12.8,Southon et al. 2005,X,,,,1830,1540,1670,Lowlands
30,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,Midden,E-V ,Beta-61805,Vegetal,Maize ,1470,80,-,Oakland 2000,X,,,,1520,1180,1330,Lowlands
31,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,Midden,E-III ,Beta-38665,Vegetal,Prosopis fruit / maize,1670,50,-,Oakland 2000,X,,,,1700,1380,1520,Lowlands
32,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,Midden,E-IV ,Beta-61806,Vegetal,Maize ,1750,70,-,Oakland 2000,X,,,,1810,1430,1620,Lowlands
33,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,Midden,E-II,Beta-36268,Vegetal,Prosopis fruit / maize,1990,80,-,Oakland 2000,X,,,,2090,1710,1900,Lowlands
34,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,Midden,E-I,Beta-44251,Coprolite,Coprolite/Prosopis,1990,70,-,Oakland 2000,X,,,,2060,1730,1900,Lowlands
35,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,-,-,GaK-3897 ,Animal,Hide frag,1230,110,-,Tartaglia 1980 ,X,,,,1310,850,1100,Lowlands
36,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,-,-,Gak-2266 ,-,-,1700,600,-,True 1973 ,X,,,,3150,550,1700,Lowlands
37,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,-,-,GaK-2894 ,Vegetal,Wood (housepost),2290,110,-,Tartaglia 1980 ,X,,,,2700,1940,2250,Lowlands
38,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,-,-,-,Human,Human hair,2870,80,-,"True C.P., in Gayó et al. 2015 ",X,,,,3170,2760,2960,Lowlands
39,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-433,N-4c inf.,OxA 39453,Vegetal,Maize ,1605,18,-,Santana et al. 2021,X,,,,1530,1380,1460,Lowlands
40,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-433,F-2A,Beta-294694,Vegetal,Charcoal,1690,40,-,Uribe et al. 2012 ,X,,,,1700,1420,1550,Lowlands
41,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-468,E-3A,Beta-220918,Vegetal,Wood ,1770,70,-,Mendez-Quiros and Uribe 2010,X,,,,1830,1430,1640,Lowlands
42,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-526,E-5/N-C,Beta-220919,Vegetal,Charcoal,1840,60,-,Mendez-Quiros and Uribe 2010,X,,,,1880,1580,1720,Lowlands
43,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-61,E-7,Beta-294695,Vegetal,Charcoal,1880,50,-,Uribe et al. 2012 ,X,,,,1890,1610,1770,Lowlands
44,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-7,E-3 ,Beta-220917,Vegetal,Charcoal,1080,40,-,Uribe et al. 2007 ,X,,,,1060,810,940,Lowlands
45,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H1,-,GaK-4087 ,Animal,Camelid fiber ,1000,150,-,Tartaglia 1980 ,X,,,,1260,570,870,Lowlands
46,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H1,-,UCLA-1834-B ,Vegetal,Plant material ,1610,80,-,Tartaglia 1980 ,X,,,,1690,1310,1460,Lowlands
47,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H1 ,-,CAMS-7606,Animal,Camelid-hat yarns,1560,60,-,Oakland 2000,X,,,,1530,1310,1410,Lowlands
48,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H10,-,Beta-63796,Vegetal,Wood (housepost),1840,60,-,Oakland 2000,X,,,,1880,1580,1720,Lowlands
49,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H14,-,CAMS-7609,Vegetal,Basketry ,1660,60,-,Oakland 2000,X,,,,1700,1370,1510,Lowlands
50,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H17,-,CAMS-7604,Animal,Camelid-hat yarns,1500,70,-,Oakland 2000,X,,,,1530,1180,1360,Lowlands
51,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H17,-,CAMS-7603,Animal,Camelid-hat yarns,1570,60,-,Oakland 2000,X,,,,1540,1310,1420,Lowlands
52,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H6,-,CAMS-7605,Animal,Camelid-hat yarns,1500,90,-,Oakland 2000,X,,,,1560,1180,1360,Lowlands
53,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H6,-,CAMS-9373,Textile,Pelican-cape yarn,1560,50,-,Oakland 2000,X,,,,1520,1310,1400,Lowlands
54,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H6,-,CAMS-9372,Textile,Pelican-cape yarn,1630,70,-,Oakland 2000,X,,,,1690,1320,1480,Lowlands
55,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-H7,-,CAMS-10325,Animal,Camelid cord,1580,60,-,Oakland 2000,X,,,,1540,1310,1430,Lowlands
56,Tarapacá,Tarapacá,1290.0,Lowland,Caserones 1,R-Wall,-,CAMS-7792,Vegetal,Basketry ,1510,70,-,Oakland 2000,X,,,,1530,1270,1370,Lowlands
57,Tarapacá,Quipisca,2400.0,Precordillera,Cerro Colorado 7,E-7A,N-2,Beta-412960,Vegetal,Prosopis fruit,2150,30,-19,De Souza et al. 2017,,,,X,2290,2010,2080,Precordillera
58,Tarapacá,Quipisca,2400.0,Precordillera,Cerro Colorado 7,E-1B,N-4-6,Beta-412957,Vegetal,Prosopis fruit,2140,30,-23.6,De Souza et al. 2017,,,,X,2290,2000,2070,Precordillera
59,Tarapacá,Quipisca,2400.0,Precordillera,Cerro Colorado 7,E-2C,N-5-8,Beta-412958,Vegetal,Maize ,380,30,-9.4,De Souza et al. 2017,,,,X,490,320,390,Precordillera
60,Tarapacá,Quipisca,2400.0,Precordillera,Cerro Colorado 7,E-6A,N-7,Beta-412959,Vegetal,Prosopis fruit,2360,30,-22.4,De Souza et al. 2017,,,,X,2430,2150,2320,Precordillera
61,Tarapacá,Quipisca,2400.0,Precordillera,Cerro Colorado 7,F-7,Chuspa,Beta-412970,Vegetal,Cotton yarn,1880,30,-17.1,De Souza et al. 2017,,,,X,1870,1700,1780,Precordillera
62,Tarapacá,Quipisca,2400.0,Precordillera,Cerro Colorado 7,F-7,Beads,UGAMS-21449,Marine,Marine shell ,2430,25,1.3,De Souza et al. 2017,,,,X,2690,2340,2420,Precordillera
63,Tarapacá,Quipisca,2430.0,Precordillera,Cerro Colorado 8,E-3A,N-2,Beta-412961,Vegetal,Prosopis fruit,1890,30,-18.6,De Souza et al. 2017,,,,X,1870,1710,1780,Precordillera
64,Tarapacá,Quipisca,2430.0,Precordillera,Cerro Colorado 8,E-3A,N-6,Beta-412962,Vegetal,Prosopis fruit,2110,30,-24.1,De Souza et al. 2017,,,,X,2110,1930,2040,Precordillera
65,Tarapacá,Quipisca,2430.0,Precordillera,Cerro Colorado 8,E-4A,N-4,UGAMS-21450,Animal,Terrestian mollusk,2150,25,-12,De Souza et al. 2017,,,,X,2290,2010,2070,Precordillera
66,Tarapacá,Loa,840.0,Lowland,Calate 01,CH1.2,-,-,Textile,Textile,1827,37,-,Pimentel et al. 2017,,X,,,1820,1590,1700,Lowlands
67,Tarapacá,Loa,810.0,Lowland,Calate 18,CH18.1,-,-,Human,Human bone colagen,2622,47,-,Pimentel et al. 2017,,X,,,2840,2490,2710,Lowlands
68,Tarapacá,Loa,850.0,Lowland,Calate 19,R-1,E-6,Beta-275730,Vegetal,Charcoal,1320,40,-,Pimentel et al. 2017,X,,,,1280,1080,1210,Lowlands
69,Tarapacá,Loa,870.0,Lowland,Calate 02,CH2.1,-,-,Human,Human bone colagen,1678,36,-,Pimentel et al. 2017,,X,,,1610,1420,1530,Lowlands
70,Tarapacá,Loa,870.0,Lowland,Calate 02,CH2.5,-,-,Textile,Textile,1277,36,-,Pimentel et al. 2017,,X,,,1270,1060,1140,Lowlands
71,Tarapacá,Loa,870.0,Lowland,Calate 02,R-3A,E-2/F-1,AA-98009,Vegetal,Charcoal,1315,35,-,Pimentel et al. 2017,X,,,,1280,1080,1220,Lowlands
72,Tarapacá,Loa,870.0,Lowland,Calate 02,R-3A/U-3,E-3-4,AA-98004,Vegetal,Charcoal,1637,36,-,Pimentel et al. 2017,X,,,,1570,1380,1480,Lowlands
73,Tarapacá,Loa,870.0,Lowland,Calate 02,R-3A/U-3,E-4,AA-98010,Vegetal,Wood ,6381,44,-,Pimentel et al. 2017,X,,,,7420,7160,7270,Lowlands
74,Tarapacá,Loa,870.0,Lowland,Calate 02,R-3B ,E-3,Beta-295680,Vegetal,Charcoal,2050,30,-,Pimentel et al. 2017,X,,,,2040,1890,1960,Lowlands
75,Tarapacá,Loa,870.0,Lowland,Calate 02,R-3B ,E-2,Beta-295679,Vegetal,Charcoal,2140,30,-,Pimentel et al. 2017,X,,,,2290,2000,2070,Lowlands
76,Tarapacá,Loa,870.0,Lowland,Calate 02,R-3B ,E-4,Beta-275723,Vegetal,Charcoal,7180,30,-,Pimentel et al. 2017,X,,,,8020,7870,7970,Lowlands
77,Tarapacá,Loa,830.0,Lowland,Calate 21,R-2,E-4,Beta-275731,Vegetal,Prosopis fruit,520,40,-,Pimentel et al. 2017,X,,,,560,470,520,Lowlands
78,Tarapacá,Loa,860.0,Lowland,Calate 03,CH3.7,-,-,Textile,Textile,1805,38,-,Pimentel et al. 2017,,X,,,1810,1580,1660,Lowlands
79,Tarapacá,Loa,860.0,Lowland,Calate 03,CH3.8,-,-,Human,Human bone colagen,626,35,-,Pimentel et al. 2017,,X,,,650,530,600,Lowlands
80,Tarapacá,Loa,860.0,Lowland,Calate 03,R-1/U-1,E-3,AA-98005,Vegetal,Charcoal,700,34,-,Pimentel et al. 2017,X,,,,670,560,610,Lowlands
81,Tarapacá,Loa,860.0,Lowland,Calate 03,R-6,E-4,Beta-275725,Vegetal,Maize ,1260,40,-,Pimentel et al. 2017,X,,,,1270,990,1130,Lowlands
82,Tarapacá,Loa,870.0,Lowland,Calate 03N,R-13,E-2/F-2,Beta-275724,Vegetal,Charcoal,1950,40,-,Pimentel et al. 2017,X,,,,1990,1740,1850,Lowlands
83,Tarapacá,Loa,870.0,Lowland,Calate 03N,R-14,E-1/F-1,AA-98002,Vegetal,Charcoal,1581,36,-,Pimentel et al. 2017,X,,,,1530,1350,1420,Lowlands
84,Tarapacá,Loa,870.0,Lowland,Calate 03N,R-15,E-1/F-3,AA-98012,Vegetal,Charcoal,1597,36,-,Pimentel et al. 2017,X,,,,1530,1370,1450,Lowlands
85,Tarapacá,Loa,870.0,Lowland,Calate 05,R-1,E-3,Beta-275726,Vegetal,Charcoal,460,40,-,Pimentel et al. 2017,X,,,,530,330,480,Lowlands
86,Tarapacá,Loa,860.0,Lowland,Calate 06,R-1,E-4,Beta-275727,Vegetal,Wood ,700,40,-,Pimentel et al. 2017,X,,,,670,560,610,Lowlands
87,Tarapacá,Loa,860.0,Lowland,Calate 06,R-5,E-2/C-II,AA-98006,Vegetal,Prosopis fruit,550,34,-,Pimentel et al. 2017,X,,,,560,500,530,Lowlands
88,Tarapacá,Loa,860.0,Lowland,Calate 06,R-5/U-5A,E-2,﻿Beta-275728,Vegetal,Prosopis fruit,620,40,-,Pimentel et al. 2017,X,,,,650,520,600,Lowlands
89,Tarapacá,Loa,830.0,Lowland,Calate 07,CH7.5,-,-,Textile,Textile,440,30,-,Pimentel et al. 2017,,X,,,510,330,470,Lowlands
90,Tarapacá,Loa,730.0,Lowland,Calate 08,R-15,E-2,Beta-275729,Vegetal,Charcoal,1550,40,-,Pimentel et al. 2017,X,,,,1520,1310,1390,Lowlands
91,Tarapacá,Loa,750.0,Lowland,Calate 09,CH9.1,-,-,Textile,Textile,412,35,-,Pimentel et al. 2017,,X,,,500,320,440,Lowlands
92,Tarapacá,Loa,750.0,Lowland,Calate 09,CH9.6,-,-,Human,Human skin,1992,37,-,Pimentel et al. 2017,,X,,,2000,1760,1900,Lowlands
93,Tarapacá,Loa,750.0,Lowland,Calate 09,R-2/U-2A,E-4,AA-98007,Vegetal,Charcoal,1348,35,-,Pimentel et al. 2017,X,,,,1300,1120,1230,Lowlands
94,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP3,E-1B ,UCIAMS-126285 ,Vegetal,Plant material ,8390,25,-,"Herrera 2017, in Santoro et al. 2019",X,,,,11710,11280,11470,Lowlands
95,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,E-2 ,UCIAMS-145144 ,Vegetal,Charcoal,9965,30,-,"Herrera 2017, in Santoro et al. 2019",X,,,,11760,11320,11530,Lowlands
96,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,E-3 ,UCIAMS-145142 ,Vegetal,Charcoal,9970,35,-,"Herrera 2017, in Santoro et al. 2019",X,,,,9470,9280,9370,Lowlands
97,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP3,E-2B ,UCIAMS ,Vegetal,Carbonated plant ,12750,35,-,"Herrera 2017, in Santoro et al. 2019",X,,,,0,0,0,Lowlands
98,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,Surface ,UCIAMS-146016 ,Marine,Marine shell ,8835,30,-,"Herrera 2017, in Santoro et al. 2019",X,,,,10120,9630,9820,Lowlands
99,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,Surface ,UCIAMS-146015 ,Marine,Marine shell ,8860,35,-,Santoro et al. 2019,X,,,,10150,9690,9880,Lowlands
100,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,E-1 ,UCIAMS-145139 ,Vegetal,Charcoal,9975,30,-,"Herrera 2017, in Santoro et al. 2019",X,,,,11620,11230,11300,Lowlands
101,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,E-4 ,UCIAMS-145146 ,Vegetal,Charcoal,9995,30,-,"Herrera 2017, in Santoro et al. 2019",X,,,,11620,11240,11320,Lowlands
102,Tarapacá,Llamara,1250.0,Lowland,Chipana 1 ,U-TP5,E-1,UCIAMS-145140 ,Vegetal,Charcoal,10005,30,-,"Herrera 2017, in Santoro et al. 2019",X,,,,11620,11240,11320,Lowlands
